,대출등급
34540,5
8652,0
94063,1
4465,1
75342,0
22642,2
95840,0
13805,2
66775,1
35617,0
14235,1
19141,1
30086,0
29888,0
85801,1
86909,2
2421,2
93139,4
83617,4
30050,1
41336,2
38854,3
75351,2
87416,2
58619,1
8458,2
94666,2
49468,3
71071,0
58580,2
19151,3
56813,0
52344,3
71086,0
54141,1
55436,2
11636,2
75901,1
74219,3
49553,3
57348,3
24384,4
47592,2
81358,1
39807,2
26000,1
69239,1
42060,1
48560,0
59041,2
62337,2
43551,2
44437,3
80270,1
71251,0
82324,2
94716,2
66438,4
57030,1
9774,1
9330,3
9750,0
42790,1
54015,3
44614,2
41375,2
62695,2
32070,0
63996,1
81786,0
43334,3
89827,2
69656,2
75796,1
24150,1
34850,3
70662,2
54777,2
95435,3
40822,0
84085,1
72006,2
91142,4
34264,1
33486,4
25005,0
33581,2
67115,1
93882,2
90499,2
23931,0
55666,1
12844,3
73165,2
61268,2
17972,2
49704,2
65267,3
20689,3
74884,1
58558,2
46875,1
80972,4
7523,1
53700,3
65672,0
73402,1
11759,1
69446,1
85883,0
10316,2
9699,1
48895,0
31825,2
12839,1
31493,5
57106,0
47081,5
28549,0
3178,2
19198,2
63168,3
49786,0
13874,1
77982,4
42963,1
95360,1
94916,1
90444,3
48,1
58425,1
54479,3
47974,1
74496,4
11390,2
34890,2
48815,4
56956,3
51679,0
21027,2
24514,1
50665,3
45241,0
91928,2
15757,0
31100,2
64460,1
3388,2
23592,2
27416,3
35224,0
6605,0
28235,1
15299,3
49369,2
69030,2
89660,0
73786,0
59856,3
55654,1
78741,2
39219,2
2252,3
65893,1
89135,1
52447,2
1561,3
2164,1
68913,4
17189,1
29180,1
15745,2
53318,4
11305,3
82504,0
17119,2
69580,5
48112,3
8200,2
12024,2
24974,3
15946,0
65238,2
66679,5
13049,0
68812,2
44507,1
43413,3
66752,0
91040,2
62765,3
78516,1
66619,3
54734,1
38284,0
93755,0
81377,4
45509,0
16777,0
30155,4
91400,2
51168,2
81990,2
68811,1
36450,1
26572,1
86082,2
70283,3
65397,1
73750,2
34334,4
67224,0
79078,2
85060,2
80089,0
84897,3
58309,1
63246,3
46965,0
44955,2
58555,2
1347,5
71545,1
18188,2
77231,3
72843,2
51270,4
18397,3
54073,1
937,2
37682,2
93185,0
42047,1
75803,1
20858,0
44543,2
3276,2
43905,1
63690,2
2765,0
55065,1
45657,2
56530,1
26842,0
71591,1
87695,0
21092,3
52846,2
47521,2
63404,2
33326,4
35473,4
81843,1
87473,3
76477,2
65887,1
58381,1
61092,0
52735,0
67181,2
15784,4
48843,2
67532,4
54444,3
4801,1
94708,2
10310,1
55636,1
51895,1
24133,0
57425,1
21416,2
57730,0
65537,4
58971,0
67199,2
67345,0
48429,1
92165,1
81271,3
31057,4
48285,1
9702,0
68055,5
66483,3
61609,2
39065,2
63756,1
33084,2
81824,1
57014,3
68077,0
58256,2
73058,1
37920,1
20311,2
10227,2
45627,3
82532,2
32765,2
92009,2
75771,0
51649,1
32097,0
14425,2
25788,5
94858,1
28213,1
92220,1
60362,1
32205,0
33146,1
45644,2
27597,1
27421,3
85451,0
25079,2
62512,2
12549,2
64249,2
38386,0
28554,2
55098,1
18130,0
32151,0
12808,3
71537,2
94345,3
66178,1
72283,0
51861,1
18105,1
91825,1
19769,1
3291,0
2562,0
77149,1
8778,0
16118,0
57057,0
88979,2
78715,1
81318,3
33032,2
83227,0
39409,1
87193,1
89683,2
59465,0
80416,3
55668,3
58997,4
20707,2
3152,3
80910,1
68504,3
55891,0
50260,2
13927,1
49253,2
19983,0
32224,2
27967,1
28694,1
89873,1
28837,1
38882,1
53786,1
70694,2
70942,2
16267,0
88925,1
64923,0
79225,2
81373,2
65098,0
92223,1
36313,2
71906,0
19343,1
41623,4
43796,2
25711,2
6998,1
43308,1
49474,0
40547,2
1494,3
1421,3
33823,3
41202,1
69579,1
67735,1
55670,3
55290,0
77817,1
74890,1
25881,2
87800,3
60720,3
26219,3
19810,1
1895,0
87880,2
84812,3
86288,2
65433,3
12652,0
66499,2
71632,1
49565,1
64430,2
6116,1
43887,3
24687,0
95415,3
90281,4
5783,2
89494,4
80299,3
84145,2
66803,1
63573,2
42467,1
54453,4
74864,1
34241,1
63214,0
25822,0
35521,0
16682,3
85646,2
6379,2
54519,0
84276,0
34031,3
65128,5
16467,1
12807,3
80622,1
13819,2
56062,2
63626,2
70340,0
7420,3
66198,2
7789,2
28707,1
50804,2
56920,2
24383,2
66937,0
29204,3
85842,4
70124,1
83981,2
92766,1
46113,0
60949,1
32460,1
20666,2
39520,1
22646,2
40377,1
37199,0
73637,1
83963,1
68344,3
72478,1
91792,2
84051,2
2485,5
60620,2
40528,1
10517,2
80280,0
28067,2
93614,1
73397,2
95629,1
52650,0
36458,1
50536,0
26446,0
72658,2
83775,3
14828,3
92272,2
29386,4
25206,1
68374,2
78816,2
24188,5
83897,1
56489,2
2044,4
32520,1
53643,1
49181,2
68800,2
47932,2
33136,2
88103,0
65783,2
80937,0
42214,1
8830,1
75092,1
26451,1
40720,2
75338,1
74978,1
9449,1
63255,1
2889,2
85831,1
18326,0
84073,0
77711,1
8144,4
66136,3
65486,5
95574,2
18368,2
55701,1
62375,0
59420,5
21536,1
94021,0
80360,0
89019,2
28603,2
24568,4
70938,1
88321,0
881,3
43067,3
50760,1
35421,0
49136,3
93114,1
16867,0
9283,2
80146,4
39339,0
76344,3
78317,3
40960,1
88627,3
84214,2
58701,1
79319,1
67737,2
14476,0
94919,1
70330,0
81784,3
79851,2
14319,4
40561,0
93562,1
81835,2
90626,0
55006,4
16378,2
73695,4
93706,2
82882,2
40202,2
25783,0
17211,2
44905,2
9563,1
10352,5
7680,2
71930,1
34830,3
94967,1
60004,2
16502,2
38075,1
75305,0
68309,2
34520,2
62445,2
60996,2
15091,0
57988,1
93557,2
58144,1
42765,0
91499,0
83140,0
22173,1
84023,1
62775,2
55082,2
44084,0
15401,3
34886,2
2565,4
18074,1
14147,1
8874,1
21126,1
56180,2
72853,4
84818,2
68184,4
65462,3
69143,2
71218,3
68556,2
94329,1
58474,1
42545,0
64347,2
85171,2
20483,1
39387,0
92015,0
60791,0
22897,1
9833,0
60985,1
17684,1
8924,1
46571,2
85514,1
7384,1
92363,0
47288,3
83784,1
90696,2
59100,0
11954,1
8691,1
34407,1
31991,0
51490,1
9064,2
60607,3
43633,3
65113,3
78770,0
2595,2
95483,1
96018,3
20961,2
39542,3
38078,1
69554,1
47668,1
8301,6
36945,3
47345,2
13114,4
47434,1
16359,3
73183,4
84937,1
26989,1
55699,1
84224,1
2886,1
29852,1
16375,2
35550,2
44912,2
81554,2
39111,0
48577,2
42417,1
60531,1
14715,2
92207,1
75846,2
6739,2
91315,2
7233,1
30301,3
79564,5
41108,3
43612,2
60025,0
88592,0
7440,1
75119,0
51220,3
86289,3
31855,2
81960,1
10638,4
20986,1
39047,1
95101,1
63957,3
64889,1
37272,0
63146,0
26157,2
47411,1
59913,1
94632,3
80923,1
84899,4
39169,1
76174,0
60611,3
85107,2
27307,3
2181,1
94105,1
58070,1
12976,0
65912,1
20420,3
38324,4
63122,1
87447,0
67153,1
62931,1
59983,1
91527,4
60939,3
85033,4
94853,3
35646,3
20962,2
32606,3
4236,3
93446,2
29136,0
93888,3
39580,0
12317,0
8845,1
46015,3
13408,2
57675,3
19504,3
61403,2
15797,3
23267,1
52179,4
13633,2
92079,2
71615,1
87767,0
83089,3
20574,1
12955,0
16248,0
34381,1
38388,1
2497,2
81090,2
11904,1
26092,1
88774,2
6562,4
55193,2
95045,3
32653,3
51317,2
43538,4
45008,2
42938,0
21045,1
9061,1
15097,1
62035,1
1556,1
81882,1
20080,1
47720,1
38806,0
1564,1
42242,3
70028,0
44973,1
94395,1
46059,2
87382,3
24618,3
61691,2
69884,2
39812,2
45326,1
54798,1
69618,5
65568,2
36641,0
7426,1
25573,2
62027,0
94544,0
66810,0
88944,3
68389,2
70350,2
48900,2
6002,4
84279,0
84324,4
55056,3
22072,1
42808,1
32136,1
58230,1
84577,1
21277,0
95904,2
31997,2
73082,1
53629,2
79380,1
21778,1
33092,5
92099,0
64631,1
82990,4
49880,0
6805,2
1192,3
79389,0
20671,2
2506,1
65105,2
35512,2
54797,0
82859,2
18350,3
66116,1
59214,1
19701,4
14141,4
94526,5
45971,2
19038,3
56652,2
68099,1
72032,1
1183,4
63095,2
48894,1
44613,3
77049,2
50778,0
66254,3
86954,1
2122,1
69141,0
36437,5
95550,2
2927,2
59951,0
57818,3
23187,1
33392,1
91559,1
66552,0
15490,4
28444,1
61247,2
74132,2
19229,2
57706,3
39315,3
17223,3
93274,1
91861,1
87642,2
23713,3
94540,1
30529,2
13646,2
75153,0
51945,1
5684,0
96035,2
82318,1
53054,2
62650,2
90527,0
14222,0
9107,1
43257,1
65449,2
45810,0
90353,2
67309,1
52712,1
57546,3
88803,0
66094,0
22169,0
22049,0
43954,0
16766,2
78359,1
86092,1
28525,1
79809,1
48478,2
75685,0
53839,2
74030,0
82344,1
76289,3
93407,2
89498,2
19532,2
39248,2
77841,3
14558,2
95694,2
66771,3
52072,1
35816,3
84757,1
8937,2
69621,0
28281,2
85016,1
38692,0
16208,0
87384,1
54996,0
15255,1
38235,2
64782,0
96037,1
11157,0
86813,2
67985,4
54813,2
38177,2
62051,1
94068,1
67048,2
40775,1
57150,2
50296,3
25773,2
77473,2
87038,1
46560,2
19984,3
73241,2
5937,3
62310,0
90191,1
79915,5
65373,0
37493,4
92312,0
69513,5
40103,0
8353,1
66994,1
20079,5
87465,1
7899,1
5320,3
52681,1
34269,4
9821,1
43031,2
35898,3
12912,1
53976,2
65356,1
79978,5
49805,0
26570,1
14046,2
8105,1
92783,0
78238,1
50277,2
37483,1
13377,1
93457,1
42194,1
89832,3
19300,3
76444,0
92989,5
86621,3
50988,2
87190,3
81471,0
80679,1
60760,3
88579,0
58205,1
61547,1
40784,2
16973,1
65658,1
85795,2
85391,2
85840,3
12217,1
45666,2
18717,0
91440,6
43370,3
10106,0
32369,3
69900,3
2551,2
72392,1
21203,3
38329,2
23638,3
89025,1
4955,2
38880,0
7196,1
3630,1
21110,0
84842,0
69841,3
87360,0
65823,0
32270,2
83656,1
4460,2
10322,4
4283,1
29674,0
79806,2
59970,3
94992,1
40969,1
31554,3
80877,3
72684,2
43419,2
76670,1
73524,1
84698,1
620,1
23893,1
74790,1
75988,2
58241,1
92683,1
35577,4
95027,2
26648,1
51253,3
23119,1
57678,0
68792,1
47613,5
24970,1
94815,1
71100,2
58540,0
72415,2
68783,3
61908,1
81704,0
63903,0
74039,2
40013,1
30776,5
91048,3
72768,1
63370,3
22935,1
12378,2
40519,1
86154,1
68258,2
5138,2
59624,1
9693,2
21046,3
76298,2
58133,1
37549,1
87061,2
57272,5
83052,4
23072,3
47768,2
65808,0
59993,4
95320,1
71136,3
6527,0
83707,2
82884,2
41449,2
58563,4
33049,2
58629,1
40014,1
32477,2
33186,1
48121,2
28041,4
84869,1
4733,4
88510,3
48286,2
91458,5
48322,1
52723,3
16768,1
82983,3
30712,4
20822,2
31062,0
62408,3
48728,0
77824,0
44530,1
81632,2
88114,4
9512,1
93848,2
52042,1
67539,2
17564,2
66450,1
46824,2
49993,3
67443,1
19373,4
59127,2
77947,1
36628,3
41267,0
61617,0
83351,2
61675,1
17327,1
2324,1
32937,3
92867,2
32949,1
82081,5
63386,3
73882,1
19368,0
3582,1
94382,1
26127,1
90074,4
33667,1
91342,1
36768,2
8009,1
61543,0
60231,3
68128,1
46007,1
25852,4
9038,2
21434,2
57408,2
95898,1
33815,3
3964,3
85379,1
91811,0
60727,2
37164,1
57778,2
67580,1
11415,0
73066,1
74658,1
21178,1
71806,0
64178,2
23721,1
1813,2
41228,0
18859,0
17687,1
53127,1
29155,3
58878,1
84828,2
72437,2
96119,2
67159,2
90492,2
8058,1
85332,0
70261,2
81315,0
22516,0
89499,2
92970,4
27098,4
72247,1
34389,2
82480,1
93505,3
87565,1
4048,2
55772,3
10498,3
69861,4
77454,3
81337,2
85870,2
35714,1
64436,1
2534,2
1462,3
54772,0
89693,4
87272,1
37987,2
54457,1
10410,5
94908,2
4443,3
93225,0
44196,4
66827,1
70642,3
14794,1
38159,1
76824,0
52192,2
63912,1
41932,2
26229,5
9808,3
28828,1
85767,2
93081,1
69168,1
42834,2
25290,3
32357,0
79634,3
9663,1
90493,2
67149,0
16350,1
40878,1
6205,1
60217,1
86448,4
40065,3
41090,2
64006,1
91732,2
12553,4
54520,0
17484,1
66559,1
74033,3
79328,0
19272,2
66476,1
39321,1
12593,3
63390,1
44221,2
44522,5
91150,1
85384,2
7033,3
52322,0
60191,1
3341,2
9467,1
75039,3
38578,4
23173,5
56827,2
49104,1
39560,3
47942,1
66454,0
60387,2
15988,2
18065,3
61674,2
41820,1
81910,3
92017,2
80822,2
17216,2
79955,2
14609,2
17879,0
2985,1
35122,1
70740,0
15366,1
94615,0
68095,2
46009,4
85499,3
68224,1
92194,0
10175,1
51305,1
85766,0
903,3
70102,1
30706,1
78460,0
31900,3
64306,1
60148,3
64470,2
89925,0
16228,0
3357,4
866,0
9607,3
46879,4
47981,1
45164,1
11244,2
3681,3
12145,4
4675,0
16026,1
21524,4
28115,2
18453,0
44875,0
6722,0
15559,3
93809,2
84078,0
36395,1
28620,3
65421,2
57889,5
56881,1
68650,2
93458,2
5184,2
87164,3
67978,0
3160,1
44764,4
80803,4
53702,1
30319,4
36784,2
32217,3
48442,2
26044,2
16555,1
33295,1
56002,1
76932,1
61431,1
71789,5
3633,0
78793,0
42805,0
62326,0
1867,1
37246,2
26339,0
93015,1
25710,5
65201,0
82958,1
10864,1
72021,0
58666,0
45012,3
322,2
57922,2
40716,1
92326,3
14795,1
34063,0
3456,1
90930,2
20633,3
37275,1
78680,2
23162,2
82615,2
30956,2
46008,2
27094,2
73767,1
37099,2
94292,2
17127,2
42991,1
32009,3
6768,2
29258,4
29139,1
67903,2
17575,2
57473,1
46342,1
40141,2
52394,2
16020,1
81703,1
95117,5
78004,3
92464,1
74027,3
90796,2
34148,1
27909,2
7502,3
90243,2
14962,3
23452,2
26193,4
25287,2
76089,2
9913,1
43007,0
94175,1
52268,2
9392,1
44212,2
83719,2
42630,2
86393,0
10334,2
74968,2
29370,1
20463,3
14124,0
64619,2
68257,2
36609,1
62048,2
83324,1
17377,1
14267,1
50647,1
72308,4
43341,3
75375,2
79499,2
10724,2
88421,0
17826,1
59043,2
36528,1
11510,4
46950,3
16542,4
82056,2
50689,1
42879,3
83834,0
60686,2
43815,1
1420,0
283,3
3193,0
10862,2
78180,0
81599,0
4951,3
18046,0
61045,1
71161,0
37367,1
35708,2
94116,2
74121,4
10533,2
57209,2
34757,2
32679,2
9595,1
5117,1
9217,2
81447,2
38610,0
8459,3
38149,2
26982,0
33476,1
25112,2
5372,4
86794,4
61527,0
80362,2
49489,2
35972,1
27846,1
23067,2
27554,2
29094,2
26656,2
80240,1
23975,2
55807,0
43373,0
57383,1
4575,2
30574,6
51860,2
49770,4
11537,2
18970,2
46787,1
30978,2
87023,1
19638,2
67090,2
43037,1
14313,1
69548,1
37948,0
15500,0
67938,1
41565,2
32456,1
45167,1
75698,3
16585,3
3581,4
68090,1
63126,2
47082,3
12043,1
24753,0
1425,4
45317,1
66950,2
47459,2
29947,1
779,3
73178,1
877,1
63252,0
55712,0
31331,1
21681,0
71696,1
280,0
82068,2
17041,2
7069,0
66996,5
59172,2
5969,3
27762,1
39583,2
61269,0
63225,3
44746,2
35299,4
21370,1
43074,0
55074,3
10389,4
49117,1
68162,2
43856,1
5041,0
19550,0
48709,1
13125,1
44217,0
23108,1
19266,1
82714,2
40232,1
14639,5
61252,3
32934,1
41972,2
33175,2
69157,0
15567,0
48386,5
72680,1
10263,4
20320,1
1362,3
86086,1
94568,1
44036,2
80123,1
53293,3
93902,3
82314,0
51358,2
24222,3
94728,0
33618,5
40757,1
29666,2
55632,0
33292,0
78021,1
25428,1
13339,2
492,1
1874,0
69859,0
26382,4
5411,2
67969,2
93126,3
13853,1
29342,2
19363,2
37419,2
72442,0
53639,3
69119,1
757,1
57146,1
9874,1
75327,1
87609,0
48086,5
22735,1
81011,2
82680,2
91909,1
2900,4
50503,2
40407,1
73910,4
11723,0
26150,1
29838,2
67794,0
16473,1
93917,2
14542,0
7959,1
5377,0
57941,1
24671,2
39089,0
89485,1
33304,2
68747,3
16199,0
88637,4
18763,0
57811,1
65117,0
62956,1
69388,2
54567,2
42691,0
14469,2
22526,5
21530,0
86098,2
92168,2
43217,1
9719,3
95079,1
9301,2
67150,2
15090,3
18656,2
58920,3
38810,4
13776,2
81633,2
60206,3
80387,4
78330,2
85390,1
41638,3
47732,1
57615,2
87215,2
77542,1
11340,1
48802,1
16797,0
28970,2
42297,3
82833,0
29545,1
66123,2
72829,6
4045,0
40946,2
55879,1
1498,0
41395,0
42099,0
24707,2
14015,2
10005,0
91034,1
57824,1
94466,4
75161,3
63135,1
42012,4
17061,3
68924,2
10079,2
32862,1
87024,3
62543,2
47430,0
19830,4
83149,1
50157,3
73084,2
88121,1
30303,2
62070,3
53847,0
60886,2
46695,1
93198,2
61296,1
69804,1
61039,3
65466,2
64,3
73606,1
19843,2
40101,0
51842,3
14533,1
74384,1
47351,2
23825,2
10037,3
37558,2
92502,1
29488,2
36146,1
85732,1
53261,2
57994,2
93170,1
92638,1
92584,2
36304,0
86087,1
53720,2
81064,3
87197,2
16082,0
38907,1
87536,2
40285,1
70770,2
3428,0
6172,0
37455,0
40461,2
34020,1
67867,5
79199,1
48766,4
21601,4
50429,3
50126,5
77056,1
12568,2
85933,2
1631,0
81219,3
86145,2
61776,1
87247,0
82386,3
51903,2
33130,3
62157,0
80791,0
65958,1
8043,6
43925,2
47857,5
30815,3
67354,1
35046,1
18925,0
70027,0
15275,2
2834,4
87881,4
27553,2
49687,3
58380,5
46430,0
15821,0
67462,2
32538,2
82676,3
40563,4
35575,2
60013,1
43243,1
31662,1
10514,2
15081,3
80129,3
33791,4
4595,3
28586,3
5962,1
41708,0
56303,1
27740,2
91830,1
89885,3
65208,2
41505,1
94993,3
94527,3
68237,1
57426,2
67349,1
66140,4
1960,2
88754,2
42435,2
2387,1
44163,2
77960,1
68804,3
58950,1
1158,1
24259,0
93133,3
71708,2
11739,2
10119,4
4406,0
66772,2
4094,1
67736,3
10583,1
79001,2
38514,5
33789,1
75232,2
28518,1
67755,2
90465,2
24561,1
54155,2
49067,1
25212,3
51171,1
83145,1
10611,0
15396,2
19410,1
1518,2
33627,3
92973,0
42932,1
64307,1
12946,1
28122,2
64349,4
16151,1
48953,0
6021,2
19148,3
909,2
87171,2
83948,4
68615,1
86978,2
81623,1
16391,3
3998,1
59459,1
67258,0
19162,2
20335,1
30011,0
80988,0
16390,0
54419,0
49250,2
18990,2
27288,1
19127,1
52164,0
16975,2
42882,1
74982,1
43629,1
44497,1
24662,1
58649,1
54232,1
81556,2
76637,2
90984,1
86126,2
23912,3
25954,1
55959,2
20471,1
71865,2
5098,3
54860,0
6932,1
29051,3
85276,0
20250,2
86360,0
67703,1
72980,4
76028,0
59446,6
84689,0
67170,1
38365,5
88689,4
19955,0
34122,4
76410,5
87820,0
13004,4
68945,2
84027,4
46486,2
4532,3
7396,2
85789,3
35874,1
39701,2
9856,2
78549,1
39362,2
23443,1
19314,2
33040,2
50271,0
52930,0
79163,2
1157,1
58264,3
34763,4
37226,1
73215,2
59449,1
50820,1
25066,2
24688,4
9006,4
58337,3
78082,0
51822,4
8528,4
12084,2
66690,2
60309,1
87809,4
80498,1
36153,2
30887,0
26102,1
75322,0
86464,3
49044,2
93118,2
39913,2
83278,1
1762,0
32148,2
49573,1
16177,3
91187,0
43657,1
49831,1
17605,2
27726,0
2718,0
70786,2
1308,2
80070,0
62905,0
84068,1
65804,0
52739,0
4794,1
87680,3
20800,0
26048,0
36155,0
48817,0
26206,1
75152,2
80832,1
71387,3
40353,0
3012,0
52831,3
52092,2
25033,2
38147,0
86496,0
52546,3
21551,2
44718,2
48715,4
16441,2
45041,0
86462,1
85481,2
20095,2
1948,0
83576,0
29299,0
82688,1
87875,1
73741,1
22570,1
42197,1
68750,4
69886,0
48723,2
16127,2
75414,4
61161,2
43056,2
31337,4
44016,5
40409,2
1644,2
50805,2
22358,4
18307,2
86660,2
31004,1
2176,2
78944,4
40131,3
44714,1
66078,2
47842,3
23589,2
78530,1
91986,3
28342,2
15700,2
40902,2
81897,1
64468,2
46923,0
92820,6
81243,5
37657,3
22442,2
36669,0
72239,1
36584,2
82898,1
43005,0
22921,1
56731,2
24861,3
42532,4
74553,3
65968,2
45688,0
52738,1
73994,1
45000,2
75074,0
86099,1
75465,2
73140,4
7868,1
69702,1
76149,2
74521,1
94060,2
50754,3
19795,0
33259,0
39424,1
66958,3
60750,1
31415,2
79263,1
68420,0
10008,1
63015,2
61571,0
21477,0
59821,1
3277,2
91051,4
45720,2
84408,2
76700,1
72576,2
11266,1
53608,1
66561,3
65181,3
13598,1
1055,3
32865,3
36382,1
11190,3
55277,1
18005,4
35742,1
3710,4
30359,1
85593,0
50607,1
33775,3
23907,4
52338,4
73410,0
94553,0
25922,5
82190,3
7765,2
33109,0
23464,2
44731,2
88726,0
56318,1
30627,1
37942,3
20917,1
26776,1
43284,0
57220,2
40676,2
54030,4
39923,1
6983,0
91616,1
23531,5
69075,2
12328,6
34523,1
6571,1
16901,3
26805,3
18764,0
16514,2
76547,5
87995,4
82404,0
34302,1
13335,1
81800,1
12696,1
28946,4
65569,3
32368,2
80960,0
16495,0
28520,0
57429,3
49262,3
43062,2
72728,1
27959,5
1882,1
24544,5
11495,4
93068,2
65604,0
43205,3
7617,3
12612,3
33078,2
54862,0
91613,1
35287,1
24805,1
50436,2
43866,2
18832,1
52859,1
28976,1
71567,1
95490,2
92307,3
38813,1
93144,1
94407,2
57009,2
89637,2
20090,3
79398,2
17081,0
87244,1
26666,2
61569,2
29301,4
20115,0
62291,2
58221,1
43216,1
23649,2
90634,3
93035,2
86615,0
33196,1
54265,1
70482,2
23602,4
52117,1
78362,0
93134,0
88323,2
31094,2
72953,5
87710,2
82168,1
95187,2
37137,1
8455,2
83865,3
83944,1
95962,0
68963,4
36622,0
5955,1
55264,0
44979,3
24125,3
16565,0
82807,3
29178,4
73263,2
80107,1
65146,2
52450,3
5189,3
72687,0
32968,1
54462,1
92751,0
38902,0
46382,2
61994,2
82368,1
26585,5
57552,3
30938,1
13744,2
60551,1
62619,2
35320,1
69416,1
45457,1
44082,2
81602,1
36026,3
73528,3
49629,0
57125,1
46410,1
62047,0
69405,3
75143,0
30587,0
95013,2
23005,2
17287,0
43218,3
16366,4
45213,1
48420,4
31226,0
1735,0
33414,3
25038,1
86589,3
70560,0
30806,4
89692,3
19061,3
31312,2
52114,3
3739,3
21022,0
17899,0
12784,0
7242,2
86404,4
57339,4
5614,2
68407,0
94358,2
75168,0
60211,4
2653,3
57956,1
73217,1
48137,3
45374,0
24419,2
37286,3
1415,2
39590,0
14866,1
49128,2
46827,3
41045,2
10281,2
69389,0
1676,1
93231,2
19193,2
6584,2
3717,5
77872,1
4813,0
29518,2
17636,0
27706,2
80153,2
30765,4
81053,1
67426,1
73905,0
17011,0
8868,2
62587,0
91880,0
30333,0
25789,1
92212,2
55311,3
14473,4
14325,2
89667,1
68681,3
56125,0
73610,2
2166,0
64615,1
60705,2
94726,1
73332,3
41466,2
13172,3
38379,0
72317,4
32623,0
71913,2
28675,2
54648,1
20988,3
57610,0
85151,5
92543,1
41206,2
56231,0
63501,3
20105,1
72700,0
27221,2
92749,2
33596,2
16992,1
11215,2
23437,1
70901,0
22302,2
12641,2
1689,2
5556,2
54729,0
37143,2
17265,2
54741,2
494,2
79738,3
19826,0
38754,3
34639,0
23668,1
56358,4
40858,4
35988,4
7510,0
20953,3
90016,1
33330,3
25456,0
95977,3
29703,0
88012,2
39513,4
68333,1
13510,2
69089,1
2047,1
86756,2
58981,4
57381,2
3765,1
38867,0
80125,3
29379,2
48705,2
73149,0
2315,2
52791,3
67650,2
73005,1
14879,2
67391,2
81062,0
53000,0
67468,1
71078,4
91966,2
73119,0
93912,2
49225,0
5080,4
36204,2
57287,2
20234,3
85137,3
18867,2
45101,1
6092,1
82345,0
5899,1
35372,2
7366,1
43154,0
25127,1
61409,5
33359,2
29009,0
95286,1
49879,2
2723,2
54847,1
87131,3
94837,1
92597,2
71766,1
17165,0
23467,3
75504,0
88423,0
79234,2
16719,2
9542,2
91044,2
48030,2
78795,1
20508,0
54098,3
82534,0
41749,3
60442,1
18194,1
11073,1
32529,1
8402,1
6328,2
58844,4
36899,1
38189,2
33233,3
63511,0
42470,3
29269,3
86765,1
88327,0
90176,4
18213,0
70303,2
63134,2
33402,2
33312,2
65533,0
29205,1
58350,2
65116,2
72029,2
14860,1
62780,2
46976,0
30559,3
96116,2
71668,0
63915,1
41376,2
20439,0
66998,1
21327,2
76164,0
5379,0
39501,2
57475,1
62388,0
11272,1
33122,2
